"Facility / Centro","First Case / Primer Caso","Cases / Casos","Resolved / Resuelta"
"Breck Adult Ski School (VR)","1/13/2021",2,"2/22/2021"
"Christy Sports (Dillon)","1/12/2021",9,"2/19/2021"
"Breck Police Department","1/11/2021",3,"2/14/2021"
"Breck Guest Information (VR)","1/11/2021",2,"2/15/2021"
"Keystone Mountain House Adult Ski School (VR)","1/11/2021",2,"2/21/2021"
"Summit County Preschool","1/8/2021",3,"3/23/2021"
"Peak 8 Properties House Keeping (BGV)","1/7/2021",6,"2/19/2021"
"Starbucks-Breckenridge","1/5/2021",3,"2/4/2021"
"Dillon Valley Elementary","1/5/2021",2,"2/12/2021"
"Summit County Sheriffs","1/4/2021",3,"2/22/2021"
"Breckenridge Sevens Restaurant (VR)","1/3/2021",2,"2/7/2021"
"Breckenridge Breck Terrace Bldg. D (VR)","1/2/2021",3,"2/22/2021"
"Dillon Dam Brewery 2","1/1/2021",2,"1/29/2021"
"Keystone Ticket Scanning","12/29/2020",2,"2/3/2021"
"Breck Lift Ops 2.0 (VR) ","12/26/2020",2,"1/27/2021"
"Skywalk Deli at Beaver Run Resort","12/25/2020",4,"1/22/2021"
"Copper Parking/Base Ops","12/23/2020",6,"2/9/2021"
"Keystone Ski School Product Sales (VR)","12/22/2020",2,"1/18/2021"
"Guest Services/Copper Sports Center","12/21/2020",12,"2/27/2021"
"Downhill Dukes","12/19/2020",4,"2/7/2021"
"Copper Social Gathering 1/5/2021","12/19/2020",9,"1/25/2021"
"Division 7 Insulation","12/19/2020",2,"1/29/2021"
"Empire Burger","12/18/2020",3,"1/30/2021"
"Grand Timber Lodge (BGV)","12/17/2020",2,"3/1/2021"
"Breck Lift Maintenance (VR)","12/16/2020",2,"12/31/2020"
"Atma Prime Day and Spa","12/16/2020",2,"1/18/2021"
"Starbucks (Frisco)","12/16/2020",3,"1/18/2021"
"Breck Market and Liquor","12/15/2020",3,"1/31/2021"
"Wells Fargo (Frisco)","12/14/2020",2,"1/27/2021"
"Perfect Service Cleaning","12/13/2020",6,"1/23/2021"
"Ice Castles (Dillon)","12/12/2020",3,"1/18/2021"
"Natural Beauty Group/Heron Ventures","12/11/2020",4,"1/12/2021"
"Dream Home Frisco Warehouse","12/9/2020",2,"1/13/2021"
"Keystone Lodge (VR)","12/5/2020",4,"1/11/2021"
"Keystone River Run Rental Operation (VR)","12/5/2020",2,"1/7/2021"
"Summit High School","12/5/2020",2,"1/7/2021"
"Columbia (Vail Resorts)","12/3/2020",2,"1/5/2021"
"Summit Community Care Clinic- Main Medical","12/3/2020",3,"1/6/2021"
"Summit County Jail","12/1/2020",8,"1/22/2021"
"BGV Guest Services","12/1/2020",4,"1/6/2021"
"Breck Lift Operations (VR) ","11/29/2020",3,"12/31/2020"
"Keystone Mtn Safety (VR)","11/29/2020",2,"1/6/2021"
"Bath and Bodyworks","11/29/2020",3,"1/7/2021"
"McDonald's Silverthorne","11/28/2020",3,"1/7/2021"
"Motherloaded Tavern","11/27/2020",5,"1/5/2021"
"Fatty's Pizzeria","11/24/2020",2,"12/23/2020"
"Keystone Lift Maintenance (VR)","11/24/2020",2,"12/30/2020"
"Keystone Employee Housing (Sunrise)","11/24/2020",4,"12/30/2020"
"Arapahoe Basin 6th Alley","11/23/2020",2,"12/30/2020"
"Colorado Mountain Cleaners/Breck Laundry in Silverthorne","11/22/2020",4,"12/30/2020"
"Timberline Learning Center","11/22/2020",5,"12/30/2020"
"Summit County Senior Center","11/20/2020",2,"12/21/2020"
"Dillon Valley Elementary First Grade","11/18/2020",2,"12/15/2020"
"Dillon Family Dental","11/18/2020",4,"1/5/2021"
"Breckenridge Grand Vacations Sales Dept. Peak 8","11/17/2020",16,"1/6/2021"
"Laser Graphics","11/16/2020",2,"12/10/2020"
"Silverthorne Elementary First Grade","11/16/2020",2,"12/14/2020"
"Chimayo","11/16/2020",3,"12/21/2020"
"Upper Blue Elementary 4th grade","11/16/2020",4,"12/30/2020"
"Keystone Lift Operations ","11/15/2020",3,"12/29/2020"
"Mtn Thunder Lodge (Breck Maintenance)","11/14/2020",2,"12/21/2020"
"Broken Compass","11/14/2020",4,"12/21/2020"
"Summit Automotive Group","11/14/2020",3,"12/30/2020"
"Breck Ticket Scanning (Peak 8 VR)","11/13/2020",2,"12/14/2020"
"Keystone Big Horn Steakhouse","11/13/2020",2,"12/22/2020"
"Breck Adult Ski School (Peak 8 VR)","11/10/2020",2,"12/23/2020"
"Summit County Justice Center","11/9/2020",2,"12/17/2020"
"Harmony Health Massage","11/9/2020",2,"12/22/2020"
"Keystone Mtn House Cafeteria (VR)","11/8/2020",2,"12/11/2020"
"RGB, Inc.","11/7/2020",4,"12/11/2020"
"The Goat","11/7/2020",2,"12/13/2020"
"Lowes (No. 2) ","11/7/2020",2,"12/22/2020"
"Red White & Blue Fire","11/7/2020",3,"12/8/2020"
"Lululemon","11/6/2020",3,"12/10/2020"
"Breckenridge Elementary First Grade","11/6/2020",3,"12/8/2020"
"Frisco Birthday Party","11/4/2020",2,"12/7/2020"
"Bread & Salt","11/4/2020",4,"12/9/2020"
"Breckenridge Ski School Admin","11/3/2020",3,"12/21/2020"
"Firsco Elementary First Grade","11/1/2020",2,"12/2/2020"
"Frisco Elementary Third Grade","11/1/2020",3,"12/2/2020"
"Blue Stag Saloon","11/1/2020",4,"12/2/2020"
"Breckenridge Halloween Social Gathering","11/1/2020",4,"12/7/2020"
"Open Arms Christian Lutheran Church","10/30/2020",3,"12/2/2020"
"Downstairs at Eric's (No. 3)","10/30/2020",3,"12/8/2020"
"Frisco Police Department","10/29/2020",2,"12/3/2020"
"Murdochs","10/29/2020",2,"12/8/2020"
"Alpine Dance","10/28/2020",2,"12/2/2020"
"BVG Infinity Spa","10/28/2020",3,"12/3/2020"
"Blue Valley Ski Rentals","10/27/2020",3,"12/1/2020"
"Hacienda Real Restaurant","10/25/2020",2,"11/23/2020"
"Keystone River Run Housekeeping","10/24/2020",2,"12/3/2020"
"Summit Cove Social Gathering","10/24/2020",3,"11/23/2020"
"Summit Sky Ranch Contractors","10/22/2020",5,"11/23/2020"
"SHS Basketball Team","10/22/2020",3,"11/25/2020"
"Breck Building Center","10/21/2020",2,"11/23/2020"
"Nuevo Vallarta","10/20/2020",5,"12/7/2020"
"Mi Casa","10/18/2020",5,"12/3/2020"
"Peak 8 Properties / BGV","10/17/2020",6,"12/1/2020"
"Advanced Dermatology","10/16/2020",2,"11/23/2020"
"Little Red SchoolHouse","10/16/2020",2,"11/18/2020"
"Sun Logic","10/15/2020",10,"11/17/2020"
"BGV Peak 8 Properties Soothe Spa","10/14/2020",2,"11/23/2020"
"Dillon Dam Brewery","10/12/2020",8,"11/23/2020"
"Cornerstone Real Estate Rocky Mountains","10/12/2020",3,"11/8/2020"
"Social Gathering SHS Students","10/12/2020",22,"11/18/2020"
"Summit County Government","10/2/2020",2,"11/2/2020"
"Ollie's Pub & Grub Breckenridge","10/1/2020",8,"11/2/2020"
"Briar Rose Chophouse","9/30/2020",6,"12/1/2020"
"Downstairs at Eric's (No. 2)","9/29/2020",2,"11/4/2020"
"UPS Silverthorne","9/25/2020",4,"11/2/2020"
"BHH Partners","9/16/2020",7,"10/18/2020"
"Mountain Lyon Cafe","9/14/2020",2,"10/18/2020"
"Mountain Temp Services and Ardani Inc.","9/14/2020",3,"10/23/2020"
"Target, Silverthorne","9/12/2020",3,"10/7/2020"
"Breckenridge Social Gathering 1","9/9/2020",2,"10/9/2020"
"Summit Middle School Staff","9/8/2020",2,"10/16/2020"
"Big Johnson 4th Street Crossing","8/17/2020",3,"9/15/2020"
"Breckenridge Terrace Apartments","7/25/2020",5,"8/26/2020"
"Innovative Family Dental","6/26/2020",2,"7/28/2020"
"Downstairs at Eric's","5/21/2020",5,"6/23/2020"
"Lowe's, Silverthorne","4/26/2020",3,"6/9/2020"
"City Market, Breckenridge","4/23/2020",19,"6/9/2020"
"The Edge at Copper Mountain","3/25/2020",4,"4/26/2020"
